"DateTime","Players","Average Players"
"2022-01-12 00:00:00",90773,
"2022-01-13 00:00:00",99076,
"2022-01-14 00:00:00",109341,
"2022-01-15 00:00:00",130427,
"2022-01-16 00:00:00",134262,
"2022-01-17 00:00:00",114048,
"2022-01-18 00:00:00",111392,
"2022-01-19 00:00:00",105767,
"2022-01-20 00:00:00",100299,
"2022-01-21 00:00:00",100860,
"2022-01-22 00:00:00",118517,
"2022-01-23 00:00:00",113786,
"2022-01-24 00:00:00",90229,
"2022-01-25 00:00:00",84065,
"2022-01-26 00:00:00",79274,
"2022-01-27 00:00:00",74883,
"2022-01-28 00:00:00",73314,
"2022-01-29 00:00:00",83109,
"2022-01-30 00:00:00",77676,
"2022-01-31 00:00:00",57332,
"2022-02-01 00:00:00",58163,
"2022-02-02 00:00:00",56375,
"2022-02-03 00:00:00",55124,
"2022-02-04 00:00:00",54914,
"2022-02-05 00:00:00",61511,
"2022-02-06 00:00:00",58260,
"2022-02-07 00:00:00",47403,
"2022-02-08 00:00:00",45235,
"2022-02-09 00:00:00",40739,
"2022-02-10 00:00:00",40391,
"2022-02-11 00:00:00",41288,
"2022-02-12 00:00:00",43160,
"2022-02-13 00:00:00",40426,
"2022-02-14 00:00:00",32366,
"2022-02-15 00:00:00",31229,
"2022-02-16 00:00:00",28540,
"2022-02-17 00:00:00",26789,
"2022-02-18 00:00:00",27651,
"2022-02-19 00:00:00",31347,
"2022-02-20 00:00:00",29111,
"2022-02-21 00:00:00",24165,
"2022-02-22 00:00:00",23776,
"2022-02-23 00:00:00",22131,
"2022-02-24 00:00:00",26263,
"2022-02-25 00:00:00",21225,
"2022-02-26 00:00:00",22306,
"2022-02-27 00:00:00",19603,
"2022-02-28 00:00:00",16151,
"2022-03-01 00:00:00",15406,
"2022-03-02 00:00:00",14149,
"2022-03-03 00:00:00",13634,
"2022-03-04 00:00:00",14445,
"2022-03-05 00:00:00",15664,
"2022-03-06 00:00:00",14506,
"2022-03-07 00:00:00",12089,
"2022-03-08 00:00:00",11595,
"2022-03-09 00:00:00",11440,
"2022-03-10 00:00:00",10763,
"2022-03-11 00:00:00",11853,
"2022-03-12 00:00:00",13521,
"2022-03-13 00:00:00",12652,
"2022-03-14 00:00:00",10473,
"2022-03-15 00:00:00",13444,
"2022-03-16 00:00:00",18113,
"2022-03-17 00:00:00",20191,
"2022-03-18 00:00:00",22532,
"2022-03-19 00:00:00",26410,
"2022-03-20 00:00:00",27758,
"2022-03-21 00:00:00",25309,
"2022-03-22 00:00:00",24011,
"2022-03-23 00:00:00",23579,
"2022-03-24 00:00:00",22494,
"2022-03-25 00:00:00",22225,
"2022-03-26 00:00:00",24022,
"2022-03-27 00:00:00",22613,
"2022-03-28 00:00:00",19077,
"2022-03-29 00:00:00",18464,
"2022-03-30 00:00:00",16869,
"2022-03-31 00:00:00",16408,
"2022-04-01 00:00:00",16442,
"2022-04-02 00:00:00",18527,
"2022-04-03 00:00:00",18191,
"2022-04-04 00:00:00",15488,
"2022-04-05 00:00:00",15088,
"2022-04-06 00:00:00",14276,
"2022-04-07 00:00:00",13865,
"2022-04-08 00:00:00",14129,
"2022-04-09 00:00:00",15540,
"2022-04-10 00:00:00",14875,
"2022-04-11 00:00:00",13128,
"2022-04-12 00:00:00",12263,
"2022-04-13 00:00:00",11595,
"2022-04-14 00:00:00",11527,
"2022-04-15 00:00:00",12686,
"2022-04-16 00:00:00",13555,
"2022-04-17 00:00:00",12761,
"2022-04-18 00:00:00",11912,
"2022-04-19 00:00:00",10698,
"2022-04-20 00:00:00",10350,
"2022-04-21 00:00:00",10205,
"2022-04-22 00:00:00",10594,
"2022-04-23 00:00:00",12234,
"2022-04-24 00:00:00",11707,
"2022-04-25 00:00:00",9909,
"2022-04-26 00:00:00",9595,
"2022-04-27 00:00:00",9319,
"2022-04-28 00:00:00",12270,
"2022-04-29 00:00:00",15919,
"2022-04-30 00:00:00",20644,
"2022-05-01 00:00:00",23392,
"2022-05-02 00:00:00",23481,
"2022-05-03 00:00:00",24317,
"2022-05-04 00:00:00",24081,
"2022-05-05 00:00:00",25298,
"2022-05-06 00:00:00",25282,
"2022-05-07 00:00:00",28913,
"2022-05-08 00:00:00",29262,
"2022-05-09 00:00:00",26160,
"2022-05-10 00:00:00",26629,
"2022-05-11 00:00:00",29820,
"2022-05-12 00:00:00",29451,
"2022-05-13 00:00:00",29009,
"2022-05-14 00:00:00",31601,
"2022-05-15 00:00:00",28876,
"2022-05-16 00:00:00",26968,
"2022-05-17 00:00:00",26555,
"2022-05-18 00:00:00",26024,
"2022-05-19 00:00:00",24961,
"2022-05-20 00:00:00",23673,
"2022-05-21 00:00:00",26501,
"2022-05-22 00:00:00",25605,
"2022-05-23 00:00:00",23335,
"2022-05-24 00:00:00",22123,
"2022-05-25 00:00:00",21788,
"2022-05-26 00:00:00",22765,
"2022-05-27 00:00:00",22974,
"2022-05-28 00:00:00",25399,
"2022-05-29 00:00:00",24100,
"2022-05-30 00:00:00",21465,
"2022-05-31 00:00:00",20294,
"2022-06-01 00:00:00",19662,
"2022-06-02 00:00:00",20209,
"2022-06-03 00:00:00",21709,
"2022-06-04 00:00:00",24497,
"2022-06-05 00:00:00",24212,
"2022-06-06 00:00:00",23215,
"2022-06-07 00:00:00",21332,
"2022-06-08 00:00:00",20584,
"2022-06-09 00:00:00",20024,
"2022-06-10 00:00:00",20615,
"2022-06-11 00:00:00",24155,
"2022-06-12 00:00:00",23638,
"2022-06-13 00:00:00",20395,
"2022-06-14 00:00:00",32944,
"2022-06-15 00:00:00",35291,
"2022-06-16 00:00:00",42892,
"2022-06-17 00:00:00",48551,
"2022-06-18 00:00:00",58032,
"2022-06-19 00:00:00",61467,
"2022-06-20 00:00:00",59659,
"2022-06-21 00:00:00",60622,
"2022-06-22 00:00:00",58850,
"2022-06-23 00:00:00",59270,
"2022-06-24 00:00:00",60855,
"2022-06-25 00:00:00",68411,
"2022-06-26 00:00:00",69758,
"2022-06-27 00:00:00",65828,
"2022-06-28 00:00:00",67137,
"2022-06-29 00:00:00",75791,
"2022-06-30 00:00:00",194459,
"2022-07-01 00:00:00",209920,
"2022-07-02 00:00:00",227572,
"2022-07-03 00:00:00",231360,
"2022-07-04 00:00:00",220599,
"2022-07-05 00:00:00",209756,
"2022-07-06 00:00:00",202208,
"2022-07-07 00:00:00",196803,
"2022-07-08 00:00:00",184220,
"2022-07-09 00:00:00",203320,
"2022-07-10 00:00:00",194861,
"2022-07-11 00:00:00",173831,
"2022-07-12 00:00:00",167968,
"2022-07-13 00:00:00",157273,
"2022-07-14 00:00:00",152053,
"2022-07-15 00:00:00",146838,
"2022-07-16 00:00:00",155368,
"2022-07-17 00:00:00",153418,
"2022-07-18 00:00:00",133195,
"2022-07-19 00:00:00",127182,
"2022-07-20 00:00:00",122214,
"2022-07-21 00:00:00",120084,
"2022-07-22 00:00:00",121126,
"2022-07-23 00:00:00",130429,
"2022-07-24 00:00:00",121972,
"2022-07-25 00:00:00",108594,
"2022-07-26 00:00:00",106135,
